CVE,DESCRIP
N800,Endometriosis del útero
N809,"Endometriosis, no especificada"
N811,Cistocele
N813,Prolapso uterovaginal completo
N814,"Prolapso uterovaginal, sin otra especificación"
N818,Otros prolapsos genitales femeninos
N819,"Prolapso genital femenino, no especificado"
N820,Fístula vesicovaginal
N821,Otras fístulas de las vías genitourinarias femeninas
N823,Fístula de la vagina al intestino grueso
N824,Otras fístulas del tracto genital femenino al tracto intestinal
N828,Otras fístulas del tracto genital femenino
N829,"Fístula del tracto genital femenino, sin otra especificación"
N832,Otros quistes ováricos y los no especificados
N835,"Torsión de ovario, pedículo de ovario y trompa de Falopio"
N838,"Otros trastornos no inflamatorios del ovario, de la trompa de Falopio y del ligamento ancho"
N839,"Enfermedad no inflamatoria del ovario, de la trompa de Falopio y del ligamento ancho, no especificada"
N850,Hiperplasia de glándula del endometrio
N851,Hiperplasia adenomatosa del endometrio
N858,Otros trastornos no inflamatorios especificados del útero
N859,"Trastorno no inflamatorio del útero, no especificado"
N872,"Displasia cervical severa, no clasificada en otra parte"
N879,"Displasia del cuello del útero, no especificada"
N893,"Displasia de la vagina, no especificada"
N898,Otros trastornos especificados no inflamatorios de la vagina
N903,"Displasia de la vulva, no especificada"
N909,"Trastorno no inflamatorio de la vulva y del perineo, no especificado"
N938,Otras hemorragias uterinas o vaginales anormales especificadas
N939,"Hemorragia vaginal y uterina anormal, no especificada"
N948,Otras afecciones especificadas asociadas con los órganos genitales femeninos y el ciclo menstrual
N949,Afecciones no especificadas asociadas con los órganos genitales femeninos y el ciclo menstrual
N950,Hemorragia postmenopáusica
O001,Embarazo tubárico
O008,Otros embarazos ectópicos
O009,"Embarazo ectópico, no especificado"
O011,"Mola hidatiforme, incompleta o parcial"
O019,"Mola hidatiforme, no especificada"
O021,Aborto retenido
O036,"Aborto espontáneo completo o no especificado, complicado por hemorragia excesiva o tardía"
O060,"Aborto no especificado incompleto, complicado con infección genital y pelviana"
O061,"Aborto no especificado incompleto, complicado por hemorragia excesiva o tardía"
O065,"Aborto no especificado completo o no especificado, complicado con infección genital y pelviana"
O066,"Aborto no especificado completo o no especificado, complicado por hemorragia excesiva o tardía"
O100,"Hipertensión esencial preexistente que complica el embarazo, el parto y el puerperio"
O11X,"Trastornos hipertensivos preexistentes, con proteinuria agregada"
O13X,Hipertensión gestacional [inducida por el embarazo] sin proteinuria significativa
O140,Preeclampsia leve a moderada
O141,Preeclampsia severa
O142,Síndrome HELLP
O149,"Preeclampsia, no especificada"
O150,Eclampsia en el embarazo
O151,Eclampsia durante el trabajo de parto
O152,Eclampsia en el puerperio
O16X,"Hipertensión materna, no especificada"
O223,Flebotrombosis profunda en el embarazo
O230,Infección del riñón en el embarazo
O240,"Diabetes mellitus preexistente insulinodependiente, en el embarazo"
O241,"Diabetes mellitus preexistente no insulinodependiente, en el embarazo"
O242,"Diabetes mellitus preexistente relacionada con desnutrición, en el embarazo"
O244,Diabetes mellitus que se origina con el embarazo
O249,"Diabetes mellitus no especificada, en el embarazo"
O266,"Trastornos del hígado en el embarazo, el parto y el puerperio"
O341,Atención materna por tumor del cuerpo del útero
O342,Atención materna por cicatriz uterina debida a cirugía previa
O364,Atención materna por muerte intrauterina
O411,Infección de la bolsa amniótica o de las membranas
O429,"Ruptura prematura de las membranas, sin otra especificación"
O432,Placenta anormalmente adherida
O441,Placenta previa con hemorragia
O450,Desprendimiento prematuro de la placenta con defecto de la coagulación
O458,Otros desprendimientos prematuros de la placenta
O459,"Desprendimiento prematuro de la placenta, sin otra especificación"
O469,"Hemorragia anteparto, no especificada"
O623,Trabajo de parto precipitado
O639,"Trabajo de parto prolongado, no especificado"
O641,Trabajo de parto obstruido debido a presentación de nalgas
O648,Trabajo de parto obstruido debido a otras presentaciones anormales del feto
O669,"Trabajo de parto obstruido, sin otra especificación"
O679,"Hemorragia intraparto, no especificada"
O710,Ruptura del útero antes del inicio del trabajo de parto
O711,Ruptura del útero durante el trabajo de parto
O712,"Inversión del útero, postparto"
O713,Desgarro obstétrico del cuello uterino
O715,Otros traumatismos obstétricos de los órganos pelvianos
O718,Otros traumas obstétricos especificados
O720,Hemorragia del tercer período del parto
O721,Otras hemorragias postparto inmediatas
O722,Hemorragia postparto secundaria o tardía
O723,Defecto de la coagulación postparto
O740,Neumonitis por aspiración debida a la anestesia administrada durante el trabajo de parto y el parto
O746,Otras complicaciones de la anestesia espinal o epidural administradas durante el trabajo de parto y el parto
O759,Complicación no especificada del trabajo de parto y del parto
O85X,Sepsis puerperal
O860,Infección de herida quirúrgica obstétrica
O861,Otras infecciones genitales consecutivas al parto
O871,Flebotrombosis profunda en el puerperio
O881,Embolia de líquido amniótico
O882,"Embolia de coágulo sanguíneo, obstétrica"
O891,Complicaciones cardíacas de la anestesia administrada durante el puerperio
O899,Complicación no especificada de la anestesia administrada durante el puerperio
O900,Dehiscencia de sutura de cesárea
O902,Hematoma de herida quirúrgica obstétrica
O909,"Complicación puerperal, no especificada"
O95X,Muerte obstétrica de causa no especificada
O960,Muerte por causa obstétrica directa que ocurre después de 42 días pero antes de un año del parto
O961,Muerte por causa obstétrica indirecta que ocurre después de 42 días pero antes de un año del parto
O969,"Muerte por causa obstétrica no especificada, que ocurre después de 42 días pero antes de un año del parto"
O970,Muerte por secuelas de causa obstétrica directa
O971,Muerte por secuelas de causa obstétrica indirecta
O980,"Tuberculosis que complica el embarazo, el parto y el puerperio"
O984,"Hepatitis viral que complica el embarazo, el parto y el puerperio"
O985,"Otras enfermedades virales que complican el embarazo, el parto y el puerperio"
O987,"Enfermedad por virus de la inmunodeficiencia humana [VIH] que complica el embarazo, el parto y el puerperio"
O988,"Otras enfermedades infecciosas y parasitarias maternas que complican el embarazo, el parto y el puerperio"
O990,"Anemia que complica el embarazo, el parto y el puerperio"
O991,"Otras enfermedades de la sangre y órganos hematopoyéticos y ciertos trastornos que afectan el sistema inmunitario cuando complican el embarazo, el parto y puerperio"
O992,"Enfermedades endocrinas, de la nutrición y del metabolismo que complican el embarazo, el parto y el puerperio"
O993,"Trastornos mentales y enfermedades del sistema nervioso que complican el embarazo, el parto y el puerperio"
O994,"Enfermedades del sistema circulatorio que complican el embarazo, el parto y el puerperio"
O995,"Enfermedades del sistema respiratorio que complican el embarazo, el parto y el puerperio"
O996,"Enfermedades del sistema digestivo que complican el embarazo, el parto y el puerperio"
O997,"Enfermedades de la piel y del tejido subcutáneo que complican el embarazo, el parto y el puerperio"
O998,"Otras enfermedades especificadas y afecciones que complican el embarazo, el parto y el puerperio"
P000,Feto y recién nacido afectados por trastornos hipertensivos de la madre
P001,Feto y recién nacido afectados por enfermedades renales y de las vías urinarias de la madre
P002,Feto y recién nacido afectados por enfermedades infecciosas y parasitarias de la madre
P003,Feto y recién nacido afectados por otras enfermedades circulatorias y respiratorias de la madre
P004,Feto y recién nacido afectados por trastornos nutricionales de la madre
P008,Feto y recién nacido afectados por otras afecciones maternas
P009,Feto y recién nacido afectados por afección materna no especificada
P010,Feto y recién nacido afectados por incompetencia del cuello uterino
P011,Feto y recién nacido afectados por ruptura prematura de las membranas
P012,Feto y recién nacido afectados por oligohidramnios
P013,Feto y recién nacido afectados por polihidramnios
P015,Feto y recién nacido afectados por embarazo múltiple
P017,Feto y recién nacido afectados por presentación anómala antes del trabajo de parto
P018,Feto y recién nacido afectados por otras complicaciones maternas del embarazo
P019,Feto y recién nacido afectados por complicaciones maternas no especificadas del embarazo
P020,Feto y recién nacido afectados por placenta previa
P021,Feto y recién nacido afectados por otras formas de desprendimiento y de hemorragia placentarios
P022,Feto y recién nacido afectados por otras anormalidades morfológicas y funcionales de la placenta y las no especificadas
P023,Feto y recién nacido afectados por síndromes de transfusión placentaria
P024,Feto y recién nacido afectados por prolapso del cordón umbilical
P025,Feto y recién nacido afectados por otra compresión del cordón umbilical
P026,Feto y recién nacido afectados por otras complicaciones del cordón umbilical y las no especificadas
P027,Feto y recién nacido afectados por corioamnionitis
P028,Feto y recién nacido afectados por otras anormalidades de las membranas
P030,Feto y recién nacido afectados por parto y extracción de nalgas
P031,"Feto y recién nacido afectados por otra presentación anómala, posición anómala y desproporción durante el trabajo de parto y el parto"
P035,Feto y recién nacido afectados por parto precipitado
P036,Feto y recién nacido afectados por contracciones uterinas anormales
P038,Feto y recién nacido afectados por otras complicaciones especificadas del trabajo de parto y del parto
P039,Feto y recién nacido afectados por complicaciones no especificadas del trabajo de parto y del parto
P048,Feto y recién nacido afectados por otras influencias nocivas de la madre
P050,Bajo peso para la edad gestacional
P052,"Desnutrición fetal, sin mención de peso o talla bajos para la edad gestacional"
P059,"Retardo del crecimiento fetal, no especificado"
P070,Peso extremadamente bajo al nacer
P071,Otro peso bajo al nacer
P072,Inmaturidad extrema
P073,Otros recién nacidos pretérmino
P082,Recién nacido postérmino sin sobrepeso para su edad gestacional
P101,Hemorragia cerebral debida a traumatismo del nacimiento
P102,Hemorragia intraventricular debida a traumatismo del nacimiento
P103,Hemorragia subaracnoidea debida a traumatismo del nacimiento
P109,"Hemorragia y laceración intracraneales no especificadas, debidas a traumatismo del nacimiento"
P112,"Lesión no especificada del encéfalo, debida a traumatismo del nacimiento"
P130,Fractura del cráneo debida a traumatismo del nacimiento
P158,"Otros traumatismos especificados, durante el nacimiento"
P159,"Traumatismo no especificado, durante el nacimiento"
P201,Hipoxia intrauterina notada por primera vez durante el trabajo de parto y el parto
P209,"Hipoxia intrauterina, no especificada"
P210,"Asfixia del nacimiento, severa"
P211,"Asfixia del nacimiento, leve y moderada"
P219,"Asfixia del nacimiento, no especificada"
P220,Síndrome de dificultad respiratoria del recién nacido
P221,Taquipnea transitoria del recién nacido
P228,Otras dificultades respiratorias del recién nacido
P229,"Dificultad respiratoria del recién nacido, no especificada"
P230,Neumonía congénita debida a agente viral
P234,Neumonía congénita debida a Escherichia coli
P235,Neumonía congénita debida a Pseudomonas
P236,Neumonía congénita debida a otros agentes bacterianos
P238,Neumonía congénita debida a otros organismos
P239,"Neumonía congénita, organismo no especificado"
P240,Aspiración neonatal de meconio
P241,Aspiración neonatal de líquido amniótico y de moco
P242,Aspiración neonatal de sangre
P243,Aspiración neonatal de leche y alimento regurgitado
P248,Otros síndromes de aspiración neonatal
P249,"Síndrome de aspiración neonatal, sin otra especificación"
P250,Enfisema intersticial originado en el período perinatal
P251,Neumotórax originado en el período perinatal
P253,Neumopericardio originado en el período perinatal
P258,"Otras afecciones relacionadas con el enfisema intersticial, originadas en el período perinatal"
P260,Hemorragia traqueobronquial originada en el período perinatal
P261,Hemorragia pulmonar masiva originada en el período perinatal
P268,Otras Hemorragias pulmonares originadas en el período perinatal
P269,"Hemorragia pulmonar no especificada, originada en el período perinatal"
P271,Displasia broncopulmonar originada en el período perinatal
P278,Otras enfermedades respiratorias crónicas originadas en el período perinatal
P280,Atelectasia primaria del recién nacido
P281,Otras atelectasias del recién nacido y las no especificadas
P282,Ataque cianótico del recién nacido
P283,Apnea primaria del sueño del recién nacido
P284,Otras apneas del recién nacido
P285,Insuficiencia respiratoria del recién nacido
P288,Otros problemas respiratorios especificados del recién nacido
P289,Afección respiratoria no especificada del recién nacido
P290,Insuficiencia cardíaca neonatal
P291,Disritmia cardíaca neonatal
P292,Hipertensión neonatal
P293,Persistencia de la circulación fetal
P294,Isquemia miocárdica transitoria del recién nacido
P298,Otros trastornos cardiovasculares originados en el período perinatal
P299,"Trastorno cardiovascular no especificado, originado en el período perinatal"
P350,Síndrome de rubéola congénita
P351,Infección citomegalovírica congénita
P353,Hepatitis viral congénita
P358,Otras enfermedades virales congénitas
P360,Sepsis del recién nacido debida a estreptococo del grupo B
P361,Sepsis del recién nacido debida a otro estreptococo y a los no especificados
P362,Sepsis del recién nacido debida a Staphylococcus aureus
P363,Sepsis del recién nacido debida a otros estafilococos y a los no especificados
P364,Sepsis del recién nacido debida a Escherichia coli
P365,Sepsis del recién nacido debida a anaerobios
P368,Sepsis del recién nacido debida a otras bacterias
P369,"Sepsis bacteriana del recién nacido, no especificada"
P371,Toxoplasmosis congénita
P372,Listeriosis congénita (diseminada)
P375,Candidiasis neonatal
P378,Otras enfermedades neonatales infecciosas o parasitarias especificadas
P38X,Onfalitis del recién nacido con o sin hemorragia leve
P392,"Infección intraamniótica del feto, no clasificada en otra parte"
P393,Infección neonatal de las vías urinarias
P398,Otras infecciones especificadas propias del período perinatal
P399,"Infección propia del período perinatal, no especificada"
P501,Pérdida de sangre fetal por ruptura del cordón umbilical
P502,Pérdida de sangre fetal por la placenta
P508,Otras pérdidas de sangre fetal
P518,Otras hemorragias umbilicales del recién nacido
P519,"Hemorragia umbilical del recién nacido, sin otra especificación"
P520,"Hemorragia intraventricular (no traumática) grado 1, del feto y del recién nacido"
P521,"Hemorragia intraventricular (no traumática) grado 2, del feto y del recién nacido"
P522,"Hemorragia intraventricular (no traumática) grado 3, del feto y del recién nacido"
P523,"Hemorragia intraventricular (no traumática) del feto y del recién nacido, sin otra especificación"
P524,Hemorragia intracerebral (no traumática) del feto y del recién nacido
P525,Hemorragia subaracnoidea (no traumática) del feto y del recién nacido
P526,Hemorragia cerebelosa y de la fosa posterior (no traumática) del feto y del recién nacido
P528,Otras hemorragias intracraneales (no traumáticas) del feto y del recién nacido
P529,"Hemorragia intracraneal (no traumática) del feto y del recién nacido, sin otra especificación"
P53X,Enfermedad hemorrágica del feto y del recién nacido
P540,Hematemesis neonatal
P541,Melena neonatal
P543,Otras hemorragias gastrointestinales neonatales
P545,Hemorragia cutánea neonatal
P548,Otras hemorragias fetales y neonatales especificadas
P549,"Hemorragia neonatal, no especificada"
P550,Incompatibilidad Rh del feto y del recién nacido
P551,Incompatibilidad ABO del feto y del recién nacido
P558,Otras enfermedades hemolíticas del feto y del recién nacido
P559,"Enfermedad hemolítica del feto y del recién nacido, no especificada"
P560,Hidropesía fetal debida a incompatibilidad
P569,Hidropesía fetal debida a otras enfermedades hemolíticas especificadas y a las no especificadas
P570,Kernicterus debido a incompatibilidad
P579,"Kernicterus, no especificado"
P582,Ictericia neonatal debida a infección
P590,Ictericia neonatal asociada con el parto antes de término
P592,Ictericia neonatal debida a otra lesión hepática especificada y a la no especificada
P598,Ictericia neonatal por otras causas especificadas
P599,"Ictericia neonatal, no especificada"
P60X,Coagulación intravascular diseminada en el feto y el recién nacido
P610,Trombocitopenia neonatal transitoria
P611,Policitemia neonatal
P612,Anemia de la prematuridad
P614,"Otras anemias congénitas, no clasificadas en otra parte"
P616,Otros trastornos neonatales transitorios de la coagulación
P618,Otros trastornos hematológicos perinatales especificados
P619,"Trastorno hematológico perinatal, no especificado"
P700,Síndrome del recién nacido de madre con diabetes gestacional
P701,Síndrome del recién nacido de madre diabética
P760,Síndrome del tapón de meconio
P761,Íleo transitorio del recién nacido
P768,Otras obstrucciones intestinales especificadas del recién nacido
P769,"Obstrucción intestinal del recién nacido, no especificada"
P77X,Enterocolitis necrotizante del feto y del recién nacido
P780,Perforación intestinal perinatal
P781,Otras peritonitis neonatales
P788,Otros trastornos perinatales específicos del sistema digestivo
P809,"Hipotermia del recién nacido, no especificada"
P819,Alteración no especificada de la regulación de la temperatura en el recién nacido
P832,Hidropesía fetal no debida a enfermedad hemolítica
P833,"Otros edemas y los no especificados, propios del feto y del recién nacido"
P835,Hidrocele congénito
P838,"Otras afecciones especificadas de la piel, propias del feto y del recién nacido"
P90X,Convulsiones del recién nacido
P910,Isquemia cerebral neonatal
P911,Quistes periventriculares adquiridos del recién nacido
P912,Leucomalacia cerebral neonatal
P914,Depresión cerebral neonatal
P915,Coma neonatal
P916,Encefalopatía hipóxico-isquémica del recién nacido
P917,Hidrocefalia adquirida del recién nacido
P918,Otras alteraciones cerebrales especificadas del recién nacido
P919,Alteración cerebral no especificada del recién nacido
P922,Lentitud en la ingestión de alimentos del recién nacido
P923,Hipoalimentación del recién nacido
P928,Otros problemas de alimentación del recién nacido
P929,Problema no especificado de la alimentación del recién nacido
P942,Hipotonía congénita
P960,Insuficiencia renal congénita
P961,Síntomas neonatales de abstinencia por drogadicción materna
P964,"Terminación del embarazo, feto y recién nacido"
P968,Otras afecciones especificadas originadas en el período perinatal
P969,Afección no especificada originada en el período perinatal
Q000,Anencefalia
Q001,Craneorraquisquisis
Q011,Encefalocele nasofrontal
Q012,Encefalocele occipital
Q018,Encefalocele de otros sitios
Q019,"Encefalocele, no especificado"
Q02X,Microcefalia
Q030,Malformaciones del acueducto de Silvio
Q031,Atresia de los agujeros de Magendie y de Luschka
Q038,Otros hidrocéfalos congénitos
Q039,"Hidrocéfalo congénito, no especificado"
Q040,Malformaciones congénitas del cuerpo calloso
Q042,Holoprosencefalia
Q043,Otras anomalías hipoplásicas del encéfalo
Q044,Displasia opticoseptal
Q045,Megalencefalia
Q046,Quistes cerebrales congénitos
Q048,"Otras malformaciones congénitas del encéfalo, especificadas"
Q049,"Malformación congénita del encéfalo, no especificada"
Q051,Espina bífida torácica con hidrocéfalo
Q052,Espina bífida lumbar con hidrocéfalo
Q054,"Espina bífida con hidrocéfalo, sin otra especificación"
Q055,Espina bífida cervical sin hidrocéfalo
Q057,Espina bífida lumbar sin hidrocéfalo
Q059,"Espina bífida, no especificada"
Q061,Hipoplasia y displasia de la médula espinal
Q068,Otras malformaciones congénitas especificadas de la médula espinal
Q069,"Malformación congénita de la médula espinal, no especificada"
Q070,Síndrome de Arnold-Chiari
Q078,"Otras malformaciones congénitas del sistema nervioso, especificadas"
Q079,"Otras malformaciones congénitas del sistema nervioso, no especificada"
Q172,Microtia
Q200,Tronco arterioso común
Q201,Transposición de los grandes vasos en ventrículo derecho
Q202,Transposición de los grandes vasos en ventrículo izquierdo
Q203,Discordancia de la conexión ventriculoarterial
Q204,Ventrículo con doble entrada
Q205,Discordancia de la conexión auriculoventricular
Q206,Isomerismo de los apéndices auriculares
Q208,Otras malformaciones congénitas de las cámaras cardíacas y sus conexiones
Q209,"Malformación congénita de las cámaras cardíacas y sus conexiones, no especificada"
Q210,Defecto del tabique ventricular
Q211,Defecto del tabique auricular
Q212,Defecto del tabique auriculoventricular
Q213,Tetralogía de Fallot
Q214,Defecto del tabique aortopulmonar
Q218,Otras malformaciones congénitas de los tabiques cardíacos
Q219,"Malformación congénita del tabique cardíaco, no especificada"
Q220,Atresia de la válvula pulmonar
Q221,Estenosis congénita de la válvula pulmonar
Q222,Insuficiencia congénita de la válvula pulmonar
Q223,Otras malformaciones congénitas de la válvula pulmonar
Q224,Estenosis congénita de la válvula tricúspide
Q225,Anomalía de Ebstein
Q226,Síndrome de hipoplasia del corazón derecho
Q228,Otras malformaciones congénitas de la válvula tricúspide
Q229,"Malformación congénita de la válvula tricúspide, no especificada"
Q230,Estenosis congénita de la válvula aórtica
Q231,Insuficiencia congénita de la válvula aórtica
Q232,Estenosis mitral congénita
Q233,Insuficiencia mitral congénita
Q234,Síndrome de hipoplasia del corazón izquierdo
Q238,Otras malformaciones congénitas de las válvulas aórtica y mitral
Q239,"Malformación congénita de las válvulas aórtica y mitral, no especificada"
Q240,Dextrocardia
Q243,Estenosis del infundíbulo pulmonar
Q244,Estenosis subaórtica congénita
Q245,Malformación de los vasos coronarios
Q246,Bloqueo cardíaco congénito
Q248,"Otras malformaciones congénitas del corazón, especificadas"
Q249,"Malformación congénita del corazón, no especificada"
Q250,Conducto arterioso persistente
Q251,Coartación de la aorta
Q252,Atresia de la aorta
Q253,Estenosis de la aorta
Q254,Otras malformaciones congénitas de la aorta
Q255,Atresia de la arteria pulmonar
Q256,Estenosis de la arteria pulmonar
Q257,Otras malformaciones congénitas de la arteria pulmonar
Q259,"Malformación congénita de las grandes arterias, no especificada"
Q262,Conexión anómala total de las venas pulmonares
Q263,Conexión anómala parcial de las venas pulmonares
Q264,"Conexión anómala de las venas pulmonares, sin otra especificación"
Q265,Conexión anómala de la vena porta
Q269,"Malformación congénita de las grandes venas, no especificada"
Q273,Malformación arteriovenosa periférica
Q278,"Otras malformaciones congénitas del sistema vascular periférico, especificadas"
Q279,"Malformación congénita del sistema vascular periférico, no especificada"
Q282,Malformación arteriovenosa de los vasos cerebrales
Q283,Otras malformaciones de los vasos cerebrales
Q288,"Otras malformaciones congénitas del sistema circulatorio, especificadas"
Q289,"Malformación congénita del sistema circulatorio, no especificada"
Q300,Atresia de las coanas
Q309,"Malformación congénita de la nariz, no especificada"
Q311,Estenosis subglótica congénita
Q315,Laringomalacia congénita
Q318,Otras malformaciones congénitas de la laringe
Q319,"Malformación congénita de la laringe, no especificada"
Q321,Otras malformaciones congénitas de la tráquea
Q322,Broncomalacia congénita
Q323,Estenosis congénita de los bronquios
Q324,Otras malformaciones congénitas de los bronquios
Q330,Quiste pulmonar congénito
Q332,Secuestro del pulmón
Q333,Agenesia del pulmón
Q334,Bronquiectasia congénita
Q336,Hipoplasia y displasia pulmonar
Q338,Otras malformaciones congénitas del pulmón
Q339,"Malformación congénita del pulmón, no especificada"
Q348,Otras malformaciones congénitas especificadas del sistema respiratorio
Q349,"Malformación congénita del sistema respiratorio, no especificada"
Q355,Fisura del paladar duro y del paladar blando
Q359,"Fisura del paladar, sin otra especificación"
Q371,Fisura del paladar duro con labio leporino unilateral
Q378,"Fisura del paladar con labio leporino bilateral, sin otra especificación"
Q379,"Fisura del paladar con labio leporino unilateral, sin otra especificación"
Q380,"Malformaciones congénitas de los labios, no clasificadas en otra parte"
Q383,Otras malformaciones congénitas de la lengua
Q388,Otras malformaciones congénitas de la faringe
Q390,Atresia del esófago sin mención de fístula
Q391,Atresia del esófago con fístula traqueoesofágica
Q392,Fístula traqueoesofágica congénita sin mención de atresia
Q393,Estrechez o estenosis congénita del esófago
Q396,Divertículo del esófago
Q398,Otras malformaciones congénitas del esófago
Q399,"Malformación congénita del esófago, no especificada"
Q400,Estenosis hipertrófica congénita del píloro
Q401,Hernia hiatal congénita
Q403,"Malformación congénita del estómago, no especificada"
Q410,"Ausencia, atresia y estenosis congénita del duodeno"
Q411,"Ausencia, atresia y estenosis congénita del yeyuno"
Q412,"Ausencia, atresia y estenosis congénita del íleon"
Q418,"Ausencia, atresia y estenosis congénita de otras partes especificadas del intestino delgado"
Q419,"Ausencia, atresia y estenosis congénita del intestino delgado, parte no especificada"
Q423,"Ausencia, atresia y estenosis congénita del ano, sin fístula"
Q429,"Ausencia, atresia y estenosis congénita del intestino grueso, parte no especificada"
Q430,Divertículo de Meckel
Q431,Enfermedad de Hirschsprung
Q433,Malformaciones congénitas de la fijación del intestino
Q434,Duplicación del intestino
Q436,Fístula congénita del recto y del ano
Q437,Persistencia de la cloaca
Q438,"Otras malformaciones congénitas del intestino, especificadas"
Q439,"Malformación congénita del intestino, no especificada"
Q441,Otras malformaciones congénitas de la vesícula biliar
Q442,Atresia de los conductos biliares
Q443,Estrechez y estenosis congénita de los conductos biliares
Q444,Quiste del colédoco
Q445,Otras malformaciones congénitas de los conductos biliares
Q446,Enfermedad quística del hígado
Q447,Otras malformaciones congénitas del hígado
Q450,"Agenesia, aplasia e hipoplasia del páncreas"
Q451,Páncreas anular
Q458,"Otras malformaciones congénitas del sistema digestivo, especificadas"
Q459,"Malformación congénita del sistema digestivo, no especificada"
Q501,Quiste en desarrollo del ovario
Q559,"Malformación congénita de los órganos genitales masculinos, no especificada"
Q600,"Agenesia renal, unilateral"
Q601,"Agenesia renal, bilateral"
Q602,"Agenesia renal, sin otra especificación"
Q603,"Hipoplasia renal, unilateral"
Q604,"Hipoplasia renal, bilateral"
Q605,"Hipoplasia renal, no especificada"
Q606,Síndrome de Potter
Q610,Quiste renal solitario congénito
Q611,"Riñón poliquístico, autosómico recesivo"
Q612,"Riñón poliquístico, autosómico dominante"
Q613,"Riñón poliquístico, tipo no especificado"
Q614,Displasia renal
Q615,Riñón quístico medular
Q618,Otras enfermedades renales quísticas
Q619,"Enfermedad quística del riñón, no especificada"
Q620,Hidronefrosis congénita
Q623,Otros defectos obstructivos de la pelvis renal y del uréter
Q627,Reflujo vésico-urétero-renal congénito
Q628,Otras malformaciones congénitas del uréter
Q631,"Riñón lobulado, fusionado y en herradura"
Q633,Hiperplasia renal y riñón gigante
Q638,"Otras malformaciones congénitas del riñón, especificadas"
Q639,"Malformación congénita del riñón, no especificada"
Q640,Epispadias
Q642,Válvulas uretrales posteriores congénitas
Q643,Otras atresias y estenosis de la uretra y del cuello de la vejiga
Q644,Malformación del uraco
Q652,"Luxación congénita de la cadera, no especificada"
Q656,Cadera inestable
Q658,Otras deformidades congénitas de la cadera
Q659,"Deformidad congénita de la cadera, no especificada"
Q675,Deformidad congénita de la columna vertebral
Q677,Tórax en quilla
Q688,"Otras deformidades congénitas osteomusculares, especificadas"
Q743,Artrogriposis múltiple congénita
Q748,Otras malformaciones congénitas especificadas del (de los) miembro(s)
Q750,Craneosinostosis
Q751,Disostosis craneofacial
Q753,Macrocefalia
Q754,Disostosis maxilofacial
Q758,Otras malformaciones congénitas especificadas de los huesos del cráneo y de la cara
Q759,Malformación congénita no especificada de los huesos del cráneo y de la cara
Q761,Síndrome de Klippel-Feil
Q764,"Otra malformación congénita de la columna vertebral, no asociada con escoliosis"
Q768,Otras malformaciones congénitas del tórax óseo
Q769,"Malformación congénita del tórax óseo, no especificada"
Q771,Enanismo tanatofórico
Q772,Síndrome de costilla corta
Q774,Acondroplasia
Q779,"Osteocondrodisplasia con defectos del crecimiento de los huesos largos y de la columna vertebral, sin otra especificación"
Q780,Osteogénesis imperfecta
Q781,Displasia poliostótica fibrosa
Q782,Osteopetrosis
Q788,Otras osteocondrodisplasias especificadas
Q789,"Osteocondrodisplasia, no especificada"
Q790,Hernia diafragmática congénita
Q792,Exónfalos
Q793,Gastrosquisis
Q794,Síndrome del abdomen en ciruela pasa
Q795,Otras malformaciones congénitas de la pared abdominal
Q796,Síndrome de Ehlers-Danlos
Q798,Otras malformaciones congénitas del sistema osteomuscular
Q809,"Ictiosis congénita, no especificada"
Q812,Epidermólisis bullosa distrófica
Q819,"Epidermólisis bullosa, no especificada"
Q820,Linfedema hereditario
Q824,Displasia ectodérmica (anhidrótica)
Q828,"Otras malformaciones congénitas de la piel, especificadas"
Q850,Neurofibromatosis (no maligna)
Q851,Esclerosis tuberosa
Q858,"Otras facomatosis, no clasificadas en otra parte"
Q859,"Facomatosis, no especificada"
Q860,Síndrome fetal (dismórfico) debido al alcohol
Q870,Síndromes de malformaciones congénitas que afectan principalmente la apariencia facial
Q871,Síndromes de malformaciones congénitas asociadas principalmente con estatura baja
Q872,Síndromes de malformaciones congénitas que afectan principalmente los miembros
Q874,Síndrome de Marfan
Q878,"Otros síndromes de malformaciones congénitas especificados, no clasificados en otra parte"
Q890,Malformaciones congénitas del bazo
Q891,Malformaciones congénitas de la glándula suprarrenal
Q893,Situs inversus
Q897,"Malformaciones congénitas múltiples, no clasificadas en otra parte"
Q898,"Otras malformaciones congénitas, especificadas"
Q899,"Malformación congénita, no especificada"
Q900,"Trisomía 21, por falta de disyunción meiótica"
Q902,"Trisomía 21, por translocación"
Q909,"Síndrome de Down, no especificado"
Q910,"Trisomía 18, por falta de disyunción meiótica"
Q913,"Síndrome de Edwards, no especificado"
Q915,"Trisomía 13, mosaico (por falta de disyunción mitótica)"
Q917,"Síndrome de Patau, no especificado"
Q927,Triploidía y poliploidía
Q928,"Otras trisomías y trisomías parciales de los autosomas, especificadas"
Q929,"Trisomía y Trisomía parcial de los autosomas, sin otra especificación"
Q933,Supresión del brazo corto del cromosoma 4
Q934,Supresión del brazo corto del cromosoma 5
Q935,Otras supresiones de parte de un cromosoma
Q938,Otras supresiones de los autosomas
Q969,"Síndrome de Turner, no especificado"
Q998,"Otras anomalías de los cromosomas, especificadas"
Q999,"Anomalía cromosómica, no especificada"
R000,"Taquicardia, no especificada"
R001,"Bradicardia, no especificada"
R011,"Soplo cardíaco, no especificado"
